"areaID","productID","qty","amount","profit","saleDate","year","month","category","subCategory","product","country","region","state","district","city"
"A101","P1001",18,111,18,2022-04-21,2022,"Apr","Electronics","Mobile","Iphone 11","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1013",25,306,46,2022-04-17,2022,"Apr","Clothing","Shirts","VanHusen XL","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1004",41,150,22,2020-06-11,2020,"Jun","Electronics","TV","Sony 28","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1013",22,124,12,2020-06-17,2020,"Jun","Clothing","Shirts","VanHusen XL","India","Central",,"Gautam Budha Nagar","Noida"
"A101","P1018",20,125,12,2022-04-04,2022,"Apr","Stationary","Pen","Pilot","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1019",15,261,42,2020-06-04,2020,"Jun","Stationary","Notebooks","Diary","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1011",45,,39,2020-06-24,2020,"Jun","Appliances","AC","Samsung W2T","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1007",33,227,34,2020-06-01,2020,"Jun","Electronics","Tablet","Lenovo 8","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1011",44,91,9,,,,"Appliances","AC","Samsung W2T","India","Central",,"Gautam Budha Nagar","Noida"
"A101","P1004",43,99,15,2022-04-11,2022,"Apr","Electronics","TV","Sony 28","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1016",26,160,16,,,,"Clothing","Trousers","Vimal 34","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1015",43,233,23,2020-06-14,2020,"Jun","Clothing","Trousers","Raymond 36","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1006",39,322,52,2022-03-19,2022,"Mar","Electronics","Laptop","Lenovo 14","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1002",13,244,39,2020-06-21,2020,"Jun","Electronics","Mobile","Samsung F62","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1016",27,82,12,2022-03-26,2022,"Mar","Clothing","Trousers","Vimal 34","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1006",49,148,24,,,,"Electronics","Laptop","Lenovo 14","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1008",26,226,34,2020-06-27,2020,"Jun","Electronics","Tablet","Samsung 10","India","Central",,"Gautam Budha Nagar","Noida"
"A101","P1020",39,218,22,2022-03-16,2022,"Mar","Stationary","Notebooks","Register 100P","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1003",20,118,18,2022-04-01,2022,"Apr","Electronics","TV","Samsung 32","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1007",23,158,24,2022-03-29,2022,"Mar","Electronics","Tablet","Lenovo 8","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1009",40,238,38,2022-03-22,2022,"Mar","Appliances","AC","Daikin S1T","India","Central",,"Gautam Budha Nagar","Noida"
"A101","P1015",29,305,30,2022-04-14,2022,"Apr","Clothing","Trousers","Raymond 36","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1017",22,112,17,2020-06-08,2020,"Jun","Stationary","Pen","Parker","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1014",15,134,13,,,,"Clothing","Shirts","Peter England XXL","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1012",13,112,17,,,,"Appliances","Refrigerator","Samsung 300","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1010",34,188,30,,,,"Appliances","AC","Voltas W1.5T","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A102","P1015",19,275,28,2022-03-06,2022,"Mar","Clothing","Trousers","Raymond 36","India","Central","Maharashtra","Pune","Pune"
"A102","P1003",25,235,24,2022-02-21,2022,"Feb","Electronics","TV","Samsung 32","India","Central","Maharashtra","Pune","Pune"
